Postcode,Total Installations,Total SGU Rated Output In kW
2353,111,326.044
2354,207,856.965
2355,43,126.110
2356,13,53.298
2357,684,1991.750
2358,269,979.475
2359,67,210.693
2360,995,4128.442
2361,100,422.755
2365,233,964.364
2369,68,227.965
2370,524,2046.682
2371,146,613.058
2372,446,1445.696
2379,18,114.110
2380,595,2496.887
2381,101,411.075
2382,80,324.930
2386,25,111.484
2387,13,47.840
2388,362,1180.305
2390,1389,4046.491
2395,66,226.200
2396,174,400.512
2397,55,250.435
2398,21,97.435
2399,60,459.045
2400,1207,4629.543
2401,21,88.385
2402,151,617.860
2403,54,191.060
2404,141,547.278
2405,60,282.166
2406,97,351.615
2408,28,214.740
2409,33,184.520
2410,23,85.355
2411,16,92.778
2415,49,237.270
2420,265,907.522
2421,143,611.025
2422,517,1684.298
2423,323,1010.183
2424,44,132.990
2425,165,553.180
2426,63,230.189
2427,419,967.550
2428,1982,4863.738
2429,866,2645.237
2430,2802,8469.554
2431,550,1281.930
2439,325,931.163
2440,1529,5387.002
2441,540,1595.654
2443,1307,3270.997
2444,3599,10182.838
2445,637,1526.950
2446,1236,3792.644
2447,604,1767.023
2448,937,2246.592
2449,213,610.458
2450,2865,8730.132
2452,1009,2625.376
2453,302,967.056
2454,861,2282.584
2455,273,695.532
2456,1287,3471.059
2460,2456,8597.061
2462,272,761.114
2463,649,2134.394
2464,797,1924.971
2465,19,48.000
2466,189,581.380
2469,359,1056.442
2470,1296,4251.467
2471,245,795.361
2472,257,683.686
2473,411,1030.995
2474,749,2050.490
2475,25,99.195
2476,50,191.350
2477,1504,3965.847
2478,2914,7862.895
2479,545,1860.857
2480,4724,13321.472
2481,1164,3859.515
2482,897,2378.468
2483,1206,3209.530
2484,2220,6640.123
2485,1132,2684.771
2486,3788,9757.872
2487,1262,3499.847
2488,309,842.445
2489,823,2106.887
2490,72,207.790
2500,807,2449.403
2502,425,1057.057
2505,176,484.257
2506,238,603.535
2508,362,893.073
2515,613,1565.610
2516,273,762.998
2517,530,1327.407
2518,675,1761.991
2519,576,1736.637
2520,5,49.840
2525,447,1225.786
2526,709,2561.898
2527,1131,3134.042
2528,1005,2423.864
2529,1249,3409.144
2530,1760,4516.628
2533,906,2318.215
2534,397,1136.728
2535,569,1839.306
2536,1209,3831.051
2537,971,2826.992
2538,191,515.730
2539,1347,3409.763
2540,3153,8261.676
2541,1304,4020.483
2545,114,369.958
2546,841,2413.502
2548,565,1695.318
2549,328,943.384
2550,1759,4740.727
2551,254,914.305
2552,1,0.560
2555,2,4.070
2556,101,428.734
2557,245,937.820
2558,649,1473.545
2559,22,61.554
2560,3774,9495.515
2563,7,13.560
2564,607,1325.532
2565,909,3108.164
2566,1628,4500.676
2567,1891,5918.047
2568,116,301.835
2569,114,385.555
2570,1745,5422.775
2571,759,2620.101
2572,262,748.535
2573,237,576.122
2574,374,1059.837
2575,898,2575.388
2576,647,2121.969
2577,918,3322.947
2578,223,586.844
2579,360,1149.885
2580,1489,4941.612
2581,194,799.223
2582,917,3950.009
2583,323,1101.831
2584,52,220.026
2585,14,83.655
2586,263,961.978
2587,245,1094.818
2588,43,214.120
2590,476,2013.893
2594,766,3202.340
2600,291,1086.536
2601,6,170.760
2602,1260,3742.634
2603,255,1054.360
2604,213,620.994
2605,508,1496.863
2606,374,1242.884
2607,652,2084.352
2609,30,470.708
2611,1402,4380.640
2612,247,816.710
2614,983,2849.122
2615,2056,5821.025
2616,5,44.120
2617,1307,3927.238
2618,111,663.917
2619,349,1228.761
2620,1736,7916.355
2621,487,1965.265
2622,390,1203.247
2623,31,83.745
2624,2,15.150
2625,3,10.430
2626,34,103.165
2627,241,936.922
2628,125,501.630
2629,25,106.800
2630,585,2006.175
2631,39,113.055
2632,131,327.805
2633,19,50.940
2640,2559,8934.722
2641,942,3124.295
2642,491,2071.865
2643,375,1860.400
2644,244,1165.855
2645,44,209.130
2646,818,4004.639
2647,303,1452.447
2648,175,955.937
2649,3,6.770
2650,2731,10988.276
2651,59,290.900
2652,320,1440.977
2653,218,852.059
2655,147,684.804
2656,126,552.381
2658,150,696.140
2659,107,505.584
2660,161,637.665
2663,265,1041.191
2665,132,704.394
2666,363,1605.760
2668,30,97.620
2669,122,623.018
2671,297,1300.700
2672,115,746.725
2675,111,816.405
2680,1195,7450.064
2681,122,658.035
2700,352,1624.511
2701,159,600.795
2702,79,309.598
2703,54,279.033
2705,521,2848.815
2706,107,543.705
2707,99,597.540
2710,775,3705.713
2711,201,1177.578
2712,152,800.530
2713,280,1531.395
2714,371,1575.222
2715,64,373.940
2716,152,711.465
2717,50,244.692
2720,511,1993.322
2721,13,65.850
2722,246,1019.774
2725,29,82.225
2726,11,60.160
2727,20,79.400
2729,124,446.134
2730,116,421.480
2731,556,2256.368
2732,207,1497.073
2733,52,311.320
2734,26,339.110
2735,56,384.700
2736,35,307.035
2737,27,204.640
2738,95,449.925
2739,85,622.923
2745,1477,4554.492
2747,1721,4747.994
2748,128,647.481
2749,783,2363.070
2750,1991,6016.729
2751,6,24.217
2752,270,891.387
2753,779,2692.411
2754,250,824.418
2756,1448,5508.869
2757,27,81.285
2758,477,1635.149
2759,1332,3427.730
2760,1212,3209.791
2761,1732,4276.829
2762,194,535.424
2763,1562,3635.946
2765,619,2228.249
2766,721,2660.958
2767,1777,3628.532
2768,1802,4247.148
2769,663,1932.487
2770,2166,5485.366
2773,371,948.618
2774,798,2130.898
2775,115,364.468
2776,313,791.214
2777,1214,3142.084
2778,213,493.778
2779,333,807.914
2780,763,1888.763
2782,398,969.411
2783,196,508.714
2784,108,218.765
2785,342,767.514
2786,95,232.323
2787,284,1108.144
2790,787,2424.951
2791,30,146.750
2792,30,134.516
2793,85,256.456
2794,613,2300.403
2795,2170,8356.563
2797,28,106.820
2798,142,557.406
2799,188,770.551
2800,2209,9121.020
2803,29,97.750
2804,261,931.255
2805,33,133.518
2806,50,204.895
2807,37,113.846
2808,16,43.710
2809,19,89.055
2810,229,845.838
2817,9,33.270
2818,37,129.275
2820,386,1545.895
2821,529,1933.760
2822,7,26.000
2823,151,550.480
2824,244,1055.540
2825,178,741.705
2826,12,64.190
2827,381,1220.908
2828,52,283.060
2829,271,1201.879
2830,4609,12247.805
2831,351,1065.730
2832,169,795.380
2833,87,364.825
2834,316,787.005
2835,412,1373.715
2836,56,205.965
2838,3,11.150
2839,44,319.465
2840,229,1350.359
2842,77,218.090
2843,73,307.100
2844,103,314.335
2845,109,386.220
2846,43,110.120
2847,191,606.370
2848,78,313.389
2849,135,467.489
2850,1089,4297.254
2852,221,839.514
2864,89,363.749
2865,137,469.415
2866,224,948.457
2867,57,319.586
2868,52,238.598
2869,144,604.225
2870,918,4213.533
2871,549,2754.265
2873,70,307.540
2874,68,264.860
2875,68,313.279
2876,34,173.490
2877,327,1928.548
2878,21,66.620
2879,77,304.035
2880,2702,7501.758
2898,36,141.853
2899,541,1636.268
2900,56,164.080
2901,1,3.500
2902,864,2483.410
2903,468,1409.156
2904,857,2215.636
2905,1339,3928.332
2906,755,2190.044
2911,113,526.587
2912,155,477.586
2913,1323,3786.479
2914,872,2587.129
3000,25,283.191
3002,26,167.454
3003,42,185.165
3004,6,69.190
3006,8,74.045
3008,75,385.420
3011,474,1584.720
3012,714,2420.248
3013,508,1336.847
3015,521,1468.905
3016,463,1355.286
3018,717,1919.994
3019,274,933.015
3020,1870,4876.413
3021,2055,5448.758
3022,136,345.459
3023,3542,9749.960
3024,1428,3905.216
3025,334,860.581
3026,27,602.540
3027,361,1004.260
3028,1415,3747.331
3029,5696,15981.867
3030,5132,15126.802
3031,379,1108.162
3032,720,2046.050
3033,547,1556.566
3034,410,1240.217
3036,248,813.080
3037,2531,7601.245
3038,1364,4257.271
3039,357,1162.905
3040,659,2000.800
3041,366,1085.411
3042,541,1826.942
3043,804,2562.288
3044,755,1981.135
3045,4,94.630
3046,934,2602.689
3047,590,1934.087
3048,688,2030.729
3049,386,1184.151
3051,101,327.420
3052,52,134.969
3053,57,201.310
3054,152,368.092
3055,368,984.998
3056,571,1528.501
3057,232,715.181
3058,1259,3967.546
3059,792,2893.890
3060,365,1093.505
3061,217,1664.680
3062,5,123.960
3063,34,159.050
3064,3504,10754.026
3065,123,312.125
3066,80,266.395
3067,97,400.491
3068,473,1248.464
3070,910,2379.529
3071,531,1427.970
3072,985,2814.209
3073,1595,4067.269
3074,775,3039.923
3075,783,2304.450
3076,1574,4217.121
3078,427,1217.587
3079,475,1439.194
3081,317,1049.297
3082,1201,3430.217
3083,1318,3551.043
3084,873,2487.018
3085,471,1231.384
3087,302,787.662
3088,964,2683.808
3089,493,1512.491
