Postcode,Total Installations,Total SGU Rated Output In kW
3915,502,1538.730
3916,113,472.825
3918,308,957.138
3919,200,553.135
3921,40,88.331
3922,732,2193.548
3923,82,235.067
3925,307,998.886
3926,288,1044.486
3927,148,447.182
3928,44,226.356
3929,121,423.000
3930,786,2579.420
3931,1434,3622.547
3933,76,550.094
3934,1087,2922.510
3936,696,2063.385
3937,131,521.790
3938,226,617.633
3939,1040,2886.767
3940,236,624.736
3941,831,2310.305
3942,201,565.943
3943,177,566.148
3944,71,264.197
3945,108,366.631
3946,24,79.905
3950,363,1252.654
3951,91,315.522
3953,599,2085.610
3954,45,169.430
3956,409,1225.560
3957,29,98.702
3958,14,44.165
3959,232,628.035
3960,363,1146.015
3962,138,404.810
3964,20,65.600
3965,33,103.341
3966,47,135.270
3967,16,50.580
3971,415,1325.652
3975,1111,3375.393
3976,1432,3699.910
3977,5304,15370.324
3978,332,1277.732
3979,32,134.470
3980,264,853.282
3981,318,998.698
3984,516,1578.141
3987,136,417.718
3988,106,373.675
3990,18,70.820
3991,51,162.117
3992,91,312.075
3995,862,2803.730
3996,581,1751.873
4000,133,583.784
4001,11,114.066
4002,1,7.905
4004,7,27.420
4005,293,1178.484
4006,189,991.375
4007,342,1277.145
4008,29,295.950
4009,19,331.565
4010,117,400.064
4011,743,2625.067
4012,1285,3993.113
4013,309,1031.300
4014,1289,4040.334
4017,4165,11976.637
4018,1131,3060.253
4019,1785,5349.021
4020,2169,6622.510
4021,1135,3215.801
4022,984,2567.067
4025,155,348.940
4030,799,2586.000
4031,791,2552.543
4032,896,2598.299
4034,4169,12712.704
4035,3258,10732.472
4036,837,2517.046
4037,1039,3584.315
4051,1601,5186.400
4053,3776,11565.456
4054,1417,4122.358
4055,2492,7823.069
4059,506,1542.626
4060,873,2868.201
4061,1716,5450.940
4062,1,1.500
4063,1,1.250
4064,482,1642.342
4065,633,1972.173
4066,563,1971.648
4067,295,987.760
4068,1103,3679.137
4069,3340,11517.185
4070,1445,4584.629
4073,1196,4025.415
4074,3131,9786.907
4075,1850,5562.197
4076,535,2090.791
4077,2778,7862.230
4078,2883,8548.118
4101,746,2290.334
4102,366,1256.467
4103,804,2304.034
4104,342,1105.435
4105,920,2833.415
4106,165,851.575
4107,577,1883.453
4108,653,2502.507
4109,4903,14425.720
4110,1167,4002.920
4111,103,306.314
4112,1028,2980.703
4113,3219,9226.684
4114,2043,5552.650
4115,2617,8139.322
4116,3384,10035.027
4117,150,400.575
4118,3722,10965.572
4119,858,2730.626
4120,400,1179.558
4121,1914,5860.096
4122,3893,11534.199
4123,2305,6590.039
4124,2867,9036.994
4125,1211,3702.656
4127,2733,8022.985
4128,2077,6145.431
4129,773,2465.995
4130,1133,3755.590
4131,919,2600.983
4132,2307,6345.637
4133,1859,5272.138
4151,792,2665.959
4152,3943,11996.919
4153,519,1712.813
4154,1222,4205.468
4155,186,810.158
4156,433,1545.979
4157,2539,7472.426
4158,356,916.682
4159,2121,5921.382
4160,2553,7247.761
4161,2310,6323.108
4163,1700,4971.742
4164,1927,6035.190
4165,5311,14602.813
4169,351,1183.671
4170,1463,4834.341
4171,890,3035.819
4172,389,1394.749
4173,1017,2897.265
4174,308,999.500
4178,2499,7044.335
4179,2052,5579.040
4183,334,834.059
4184,1464,3213.084
4205,709,1644.403
4207,5931,18086.756
4208,2295,6935.321
4209,3408,11399.468
4210,2274,7309.570
4211,6442,20565.235
4212,3191,10292.357
4213,3552,13351.183
4214,4226,13178.850
4215,2168,6426.508
4216,3568,10253.385
4217,1831,6251.900
4218,2399,7695.850
4219,16,76.825
4220,2621,8376.199
4221,2860,7729.341
4223,1764,5304.712
4224,432,1286.924
4225,188,595.138
4226,3052,9255.135
4227,1807,5248.637
4228,714,2452.386
4230,9,33.880
4237,1,0.920
4270,635,2108.031
4271,331,851.913
4272,694,2070.131
4275,467,1599.665
4276,1,3.300
4280,2496,8232.620
4285,2690,9228.805
4287,84,268.080
4300,5140,15398.575
4301,2433,6904.307
4303,300,735.233
4304,1684,4509.777
4305,6449,18123.109
4306,5402,17550.628
4307,235,858.524
4309,435,1467.561
4310,969,2956.908
4311,1487,4701.009
4312,566,1698.511
4313,426,1347.698
4340,714,2267.974
4341,2320,7203.428
4342,399,1337.170
4343,1296,4690.695
4344,328,1217.334
4345,1,1.520
4346,131,455.864
4347,195,716.340
4350,7371,22747.332
4352,3456,11914.047
4353,41,182.698
4354,160,497.877
4355,351,978.120
4356,534,1919.017
4357,293,1027.966
4358,247,922.500
4359,153,510.614
4360,79,614.165
4361,287,1299.251
4362,373,1830.502
4363,106,307.883
4364,40,231.090
4365,62,266.736
4370,1903,7421.962
4371,120,400.170
4372,24,77.560
4373,120,446.560
4374,52,270.756
4375,25,100.620
4376,44,239.060
4377,86,463.682
4378,70,224.058
4380,995,3584.825
4381,83,329.246
4382,78,327.000
4383,77,236.081
4384,1,2.280
4385,111,387.719
4387,114,721.067
4388,61,261.885
4390,581,2491.200
4400,257,850.726
4401,552,1762.206
4402,39,132.155
4403,98,438.600
4404,43,199.188
4405,1118,4221.365
4406,108,437.440
4407,40,159.425
4408,74,214.896
4410,166,577.391
4411,37,131.180
4412,26,87.155
4413,572,1709.528
4415,177,581.861
4416,34,123.225
4417,85,284.765
4418,9,18.513
4419,81,251.523
4420,89,300.190
4421,139,423.015
4422,43,158.002
4423,9,24.870
4424,17,55.343
4425,10,33.623
4426,4,17.420
4427,54,162.257
4428,104,245.950
4454,110,381.380
4455,946,2660.069
4461,3,8.120
4462,8,12.530
4465,212,656.020
4467,27,79.060
4468,46,165.100
4470,285,1212.420
4472,108,411.955
4474,1,3.050
4475,1,10.400
4477,52,228.148
4478,47,236.990
4480,47,213.690
4481,2,42.840
4482,5,37.815
4486,67,298.515
4487,276,1347.905
4488,36,120.370
4489,5,17.580
4490,170,677.481
4491,15,44.250
4492,28,131.904
4493,2,8.720
4494,18,79.050
4496,27,128.940
4497,25,102.780
4498,15,61.840
4500,5186,17004.027
4501,662,2062.180
4502,1189,3733.168
4503,4431,13724.224
4504,2603,8688.082
4505,3311,10558.560
4506,2485,7917.301
4507,3501,8889.105
4508,2137,6337.050
4509,2990,8957.874
4510,5314,16405.705
4511,1682,4420.108
4512,525,1853.493
4514,1083,3591.124
4515,589,1959.308
4516,720,2431.270
4517,117,353.218
4518,818,2457.114
4519,1208,3561.472
4520,2033,7073.280
4521,740,2603.037
4550,647,1848.455
4551,8063,21173.392
4552,1684,5481.761
4553,887,2803.739
4554,244,842.963
4555,1080,2956.941
4556,5517,15592.862
4557,1788,5354.240
4558,1604,4407.206
4559,831,2791.547
4560,4173,11810.580
4561,1127,3891.409
4562,1186,4086.943
4563,1371,4234.214
4564,1349,4833.594
4565,2022,5550.932
4566,1032,3291.533
4567,1007,3283.169
4568,576,1876.965
4569,246,730.682
4570,5825,18151.770
4571,120,357.535
4572,202,607.753
4573,2603,7759.202
4574,173,517.088
4575,3334,9495.910
4580,1040,2650.595
4581,303,1084.568
4600,126,367.217
4601,121,367.435
4605,371,1283.537
4606,324,941.830
4608,100,316.108
4610,1427,4441.140
4611,18,75.908
4612,34,88.525
4613,82,232.065
4614,182,547.175
4615,960,2610.937
4620,43,103.855
4621,210,563.605
4625,325,1084.696
4626,243,1002.940
4627,73,291.200
4630,191,627.410
4650,3733,11556.487
4655,8626,24479.357
4659,893,2492.773
4660,1204,3421.463
4662,79,244.847
4670,9979,30846.462
4671,799,2252.547
4673,89,281.401
4674,199,579.768
4676,37,73.315
4677,503,1572.017
4678,198,670.292
4680,5158,18352.864
4694,28,95.025
4695,125,434.431
4697,14,54.230
4699,41,114.297
4700,1237,4067.542
4701,3193,10317.938
4702,2375,8136.460
4703,2333,7212.400
4704,14,37.080
4705,30,88.155
4706,3,7.900
4707,21,72.025
4709,6,36.920
4710,433,1280.150
4711,287,1002.995
4712,16,91.695
4713,7,33.780
4714,300,847.510
4715,569,2345.178
4716,92,356.520
4717,168,701.042
4718,185,770.108
4719,110,415.410
4720,1053,4743.932
4721,244,1001.398
4722,169,692.014
4723,78,360.070
4724,34,125.000
4725,132,604.441
4726,27,97.455
4727,23,101.505
4728,29,163.450
4730,221,1200.167
4731,23,92.695
4732,16,71.500
4733,5,18.000
4735,59,281.695
4736,10,60.497
4737,817,2989.870
4738,126,491.537
4739,44,186.945
4740,5910,22607.849
4741,697,2698.094
4742,43,140.315
4743,11,78.880
4744,139,704.295
4745,29,144.260
4746,8,26.350
4750,434,1562.445
4751,400,1525.156
4753,365,1450.920
4754,193,707.785
4756,55,304.860
4757,25,85.046
4798,94,413.855
4799,157,603.915
4800,1180,4334.123
4802,592,2389.850
4803,1,1.480
4804,166,764.621
4805,951,3477.742
4806,354,1349.248
4807,1296,5272.855
4808,127,530.260
4809,111,434.087
4810,1337,5873.976
4811,1205,4596.871
4812,1363,5488.343
4814,4170,16240.449
4815,2647,8614.340
4816,988,3686.577
4817,3237,12446.562
4818,3042,11536.426
4819,275,963.470
4820,741,2833.799
4821,127,635.817
4822,58,340.365
4823,50,238.250
4824,113,601.710
4825,1281,5588.320
4828,3,53.280
4829,43,335.844
4830,38,671.853
4849,142,592.789
4850,1181,4369.503
4852,375,1625.622
4854,400,1829.367
4855,69,271.815
4856,78,329.295
4857,3,11.360
4858,110,469.130
4859,45,171.965
4860,639,2301.958
4861,83,310.530
4865,668,2373.539
4868,1513,5041.260
4869,1273,4200.955
4870,4383,16292.745
4871,784,3446.587
4872,357,1472.840
4873,654,2314.851
4874,7,38.455
4875,79,1090.111
4876,22,324.170
4877,298,1233.444
4878,1020,3384.259
4879,1602,5495.467
4880,1277,4987.589
4881,376,1241.333
4882,305,965.576
4883,534,1677.513
4884,258,837.244
4885,355,1053.769
4886,47,214.161
4887,186,550.795
4888,228,682.500
4890,32,203.080
4891,27,149.480
4892,8,61.960
4895,190,654.844
5000,386,1997.886
5001,8,29.945
5006,343,1278.126
5007,529,2000.108
5008,1129,3789.140
5009,547,1949.330
5010,547,2083.078
5011,893,4781.028
5012,970,3211.628
5013,983,3648.295
5014,1131,3692.405
5015,561,1864.667
5016,1014,2980.528
5017,463,1275.260
5018,924,2560.723
5019,1078,2987.573
5020,377,1194.183
5021,811,2501.807
5022,1703,5137.521
5023,1329,4160.162
5024,1469,4660.592
5025,823,2750.297
5031,733,2610.967
5032,1087,4001.479
5033,615,2297.381
5034,907,3006.127
5035,478,1564.981
5037,893,2859.293
5038,1240,3775.258
5039,816,2769.625
5040,270,907.814
5041,1196,3859.839
5042,1050,3535.598
5043,1576,4442.099
5044,1050,3359.749
5045,1164,3680.414
5046,793,2281.407
5047,851,2481.446
5048,1581,4453.467
5049,1246,3707.763
5050,698,2109.279
5051,1594,5137.335
5052,629,2044.327
5061,799,3107.594
5062,1456,5279.468
5063,920,3199.765
5064,940,3356.175
5065,890,3203.627
5066,1158,4289.833
5067,704,2696.202
5068,1017,3662.455
5069,767,2788.329
5070,1238,3967.574
5071,3,14.160
5072,1237,4338.302
5073,1375,4540.976
5074,1141,3715.887
5075,1164,3447.155
5076,956,3056.235
5081,825,3120.229
5082,1325,4615.868
5083,639,1954.300
5084,671,2227.426
5085,1824,5369.072
5086,1708,5110.227
5087,1024,3169.714
5088,357,1223.900
5089,757,2402.006
5090,1040,2670.996
5091,865,2492.503
5092,1992,5369.938
5093,1163,3035.501
5094,144,892.055
5095,2041,6771.693
5096,1793,5398.104
5097,1646,4547.503
5098,1729,4564.663
5106,29,368.800
5107,2056,6317.640
5108,3997,11810.247
5109,2425,7049.154
5110,915,3374.977
5111,10,182.590
5112,1736,4992.366
5113,1305,3609.774
5114,3533,10847.281
5115,665,2188.289
5116,1094,3196.391
5117,495,2029.619
5118,2401,8112.417
5120,316,1939.399
5121,271,1087.927
5125,2464,7556.647
5126,802,2298.167
5127,998,2798.505
5131,155,635.893
5132,65,321.549
5133,81,358.165
5134,63,339.710
5136,64,217.495
5137,80,439.945
5138,38,186.255
5139,59,324.050
5140,58,182.947
5141,122,416.766
5142,90,315.140
5144,55,248.344
5150,11,56.960
5151,45,170.925
5152,512,1865.624
5153,1000,4054.464
5154,294,1063.407
5155,403,1342.228
5156,94,334.409
5157,511,1981.222
5158,3636,10321.478
5159,4465,13141.132
5160,89,1249.202
5161,1441,3702.353
5162,4528,12517.229
5163,1843,5452.295
5164,517,1330.886
5165,526,1540.646
5166,263,650.647
5167,789,2050.815
5168,719,2099.090
5169,2064,5893.295
5170,195,521.141
5171,1152,5008.632
5172,744,2636.950
5173,1886,5178.050
5174,458,1450.229
5175,1,0.300
5201,308,1264.581
5202,132,542.010
5203,222,775.467
5204,803,2394.961
5207,1,0.960
5210,313,1049.204
5211,3307,9121.417
5212,615,1436.268
5213,302,875.635
5214,2044,5430.794
5220,33,108.786
5221,69,226.591
5222,167,462.844
5223,475,1656.375
5231,177,596.490
5232,73,341.435
5233,201,826.606
5234,221,824.322
5235,440,1476.064
5236,51,177.493
5237,60,193.352
5238,960,3018.904
5240,80,426.356
5241,303,1166.262
5242,228,878.942
5243,117,546.557
5244,629,2468.068
5245,378,1478.799
5250,442,1777.000
5251,1741,6630.971
5252,810,2576.167
5253,2497,9148.985
5254,479,1760.225
5255,1418,4870.389
5256,299,821.270
5259,228,916.885
5260,283,958.922
5261,41,170.542
5262,27,154.044
5263,20,203.406
5264,207,906.212
5265,39,148.040
5266,64,239.935
5267,219,991.685
5268,437,1938.314
5269,24,136.725
5270,86,350.545
5271,716,3477.976
5272,77,335.464
5273,11,42.330
5275,340,1332.084
5276,214,952.069
5277,254,1043.425
5278,46,192.710
5279,48,178.744
5280,856,3501.046
5290,1514,5574.823
5291,761,3419.691
5301,80,319.915
5302,121,479.870
5303,16,59.120
5304,92,387.795
5306,9,38.560
5307,90,307.130
5308,12,45.120
5309,17,67.810
5310,4,19.940
5311,41,170.180
5312,1,5.000
5320,180,683.135
5321,63,249.238
5322,158,669.476
5330,630,2701.767
5331,63,261.497
5332,70,283.077
5333,946,4187.612
5340,208,995.067
5341,966,4648.289
5342,176,1003.253
5343,676,3598.782
5344,114,680.300
5345,537,2630.153
5346,50,261.249
5350,72,392.830
5351,938,3251.577
5352,777,3237.377
5353,576,2136.126
5354,128,366.517
5355,1090,4094.199
5356,128,515.991
5357,106,358.030
5360,174,670.240
5371,213,962.014
5372,282,990.506
5373,564,1770.230
5374,205,721.169
5381,66,199.035
5400,110,404.932
5401,97,336.845
5410,54,203.603
5411,51,192.225
5412,206,697.890
5413,121,469.040
5414,19,59.622
5415,27,111.195
5416,31,127.314
5417,181,733.515
5418,17,53.160
5419,26,93.990
5420,16,54.290
5421,13,59.000
5422,267,856.388
5431,168,646.625
5432,43,132.660
5433,291,1061.713
5434,74,262.580
5440,15,66.150
5451,134,538.970
5452,71,464.789
5453,682,3063.167
5454,46,225.100
5455,8,30.670
5460,103,344.338
5461,395,1270.375
5462,84,296.995
5464,63,238.400
5470,20,64.120
5471,8,29.800
5472,27,106.040
5473,137,446.320
5480,209,779.532
5481,102,402.437
5482,102,493.500
5483,63,237.450
5485,106,392.024
5490,32,120.630
5491,308,1214.573
5493,19,55.695
5495,125,475.775
5501,1175,4358.015
5502,245,805.746
5510,25,87.240
5520,91,314.310
5521,28,105.035
5522,418,1446.617
5523,276,1005.731
5540,2125,7832.687
5550,109,365.925
5552,44,220.704
5554,729,3018.131
5555,114,362.453
5556,831,2540.746
5558,1155,3600.701
5560,95,402.141
5570,161,408.393
5571,466,1369.061
5572,33,124.750
5573,461,1644.197
5575,737,2160.023
5576,207,600.477
5577,104,341.179
5580,64,227.262
5581,199,596.171
5582,193,554.095
5583,282,781.507
5600,1308,4934.562
5601,54,233.725
5602,259,958.460
5603,82,290.868
5604,44,130.724
5605,348,1157.659
5606,1628,6655.545
5607,654,2609.177
5608,1502,5181.346
5609,231,992.275
5630,15,54.080
5631,172,788.779
5632,27,115.720
5633,30,138.480
5640,188,854.253
5641,145,536.842
5642,34,152.330
5650,18,76.160
5651,22,111.360
5652,79,403.785
5653,10,44.335
5654,45,175.070
5655,13,47.100
5660,3,14.975
5661,18,103.360
5670,57,272.735
5671,26,124.115
5680,401,1752.789
5690,414,2026.034
5700,1496,6014.769
5701,6,43.870
5710,450,1697.282
5713,1,15.000
5717,1,24.000
5720,3,5.060
5722,4,8.040
5723,9,127.196
5724,3,14.300
5725,151,988.480
5730,7,29.250
5731,10,172.520
5732,65,264.662
5733,10,90.000
5875,1,1.160
6000,140,676.716
6001,2,2.740
6003,59,261.897
6004,100,518.536
6005,52,433.557
6006,370,1041.545
6007,287,857.575
6008,604,1863.279
6009,755,2508.857
6010,941,2599.690
6011,354,1082.049
6012,361,1111.563
6013,1,0.375
6014,963,2805.040
6015,359,1228.040
6016,444,1164.462
6017,164,1359.018
6018,2447,6316.891
6019,886,2202.859
6020,1619,4410.070
6021,1252,3604.086
6022,552,1228.927
6023,1435,3710.522
6024,1406,3170.669
6025,2839,7097.614
6026,2565,6282.327
6027,3747,9848.406
6028,1982,5750.810
6029,180,502.536
6030,3726,9127.883
6031,1435,4278.040
6032,21,115.980
6033,43,347.155
6034,50,159.032
6035,894,2300.415
6036,1044,2890.311
6037,361,935.159
6038,636,1705.981
6041,316,1130.818
6042,16,41.750
6043,37,87.450
6044,205,578.303
6050,673,2023.190
6051,453,1128.129
6052,592,1558.268
6053,985,2697.141
6054,1534,3870.782
6055,1616,5264.346
6056,3480,9633.033
6057,1748,4307.477
6058,1404,3339.860
6059,1538,3933.065
6060,879,2128.237
6061,1780,3734.136
6062,2380,5852.948
6063,1314,3099.710
6064,2476,5645.823
6065,6412,18458.559
6066,1769,4382.024
6068,8,31.095
6069,3654,10358.924
6070,377,936.858
6071,367,1023.273
6072,105,241.893
6073,336,1024.484
6074,133,347.942
6076,2243,6269.831
6077,74,366.515
6078,56,431.639
6081,485,1424.815
6082,340,934.913
6083,484,1443.274
6084,932,3222.977
6090,90,2151.195
6100,569,1456.778
6101,887,2310.712
6102,533,1605.913
6103,461,1143.995
6104,955,2847.781
6105,967,2943.174
6106,52,1602.835
6107,3380,8350.056
6108,2469,5468.200
6109,1192,2975.500
6110,3777,9169.524
6111,2193,5699.674
6112,4940,13245.028
6121,373,1379.647
6122,1512,4610.609
6123,171,587.600
6124,162,497.950
6125,364,1204.707
6126,34,116.515
6147,1413,2997.956
6148,1664,3957.220
6149,1898,4735.270
6150,1157,3149.244
6151,651,1872.239
6152,1421,3782.217
6153,1177,3208.803
6154,837,2482.746
6155,5843,15534.259
6156,1051,2585.797
6157,839,2002.075
6158,408,1064.526
6159,131,370.750
6160,444,1079.458
6161,4,72.900
6162,875,1923.691
6163,4310,11145.423
6164,5304,14137.038
6165,14,351.560
6166,732,2440.136
6167,2391,5953.192
6168,2665,6348.874
6169,4138,9836.490
6170,1060,2797.198
6171,3446,9300.579
6172,1625,4354.894
6173,1160,3349.728
6174,280,749.817
6175,367,973.721
6176,74,261.435
6180,597,1556.555
6181,70,211.017
6207,116,338.645
6208,1877,4670.883
6209,266,733.040
6210,9179,21649.974
6211,956,2569.631
6213,83,260.843
6214,72,189.795
6215,410,1295.146
6218,56,165.960
6220,411,1410.111
6221,25,110.298
6223,15,47.445
6224,87,269.359
6225,944,2484.888
6226,101,329.514
6227,91,244.885
6228,12,28.750
6229,6,83.820
6230,3299,8076.199
6231,14,24.250
6232,1122,2525.746
6233,1870,4846.205
6236,235,646.185
6237,306,829.725
6239,547,1391.301
6240,28,72.770
6243,3,9.048
6244,98,243.195
6251,37,213.721
6252,11,32.810
6253,102,234.976
6254,36,115.855
6255,344,926.668
6256,15,29.145
6258,380,1188.304
6260,98,445.268
6262,66,214.470
6271,436,1227.716
6275,161,405.986
6280,2646,6582.088
6281,616,1772.027
6282,215,611.726
6284,130,389.879
6285,584,1838.759
6286,70,225.433
6288,46,259.264
6290,162,370.212
6302,439,1368.870
6304,258,689.485
6306,92,361.061
6308,114,365.230
6309,31,91.190
6311,60,176.277
6312,325,1060.486
6313,24,76.450
6315,189,577.485
6316,41,113.104
6317,193,655.133
6318,32,107.501
6320,24,82.520
6321,18,78.193
6322,16,35.500
6323,72,212.574
6324,217,893.759
6326,44,120.916
6327,21,71.818
6328,25,84.420
6330,2009,5579.389
6331,2,5.590
6332,6,17.126
6333,520,1603.787
6335,52,198.040
6336,22,83.800
6337,17,45.604
6338,54,220.473
6341,12,39.538
6343,10,33.820
6346,22,155.757
6348,77,223.973
6350,28,83.405
6351,1,3.200
6352,10,80.450
6353,39,153.500
6355,15,76.310
6356,8,36.150
6357,7,33.100
6358,1,3.200
6359,28,232.940
6361,3,8.000
6363,12,28.820
6365,62,249.445
6367,15,87.540
6368,1,3.150
6369,47,208.010
6370,38,88.540
6372,17,52.240
6373,4,14.600
6375,115,392.546
6383,116,361.569
6384,1,3.200
6385,1,3.000
6386,4,11.500
6390,118,360.498
6391,64,280.401
6392,37,99.664
6393,13,41.260
6394,6,19.880
6395,109,339.874
6396,18,74.010
6397,10,49.560
6398,50,194.443
6401,586,1791.775
6403,17,47.760
6405,19,53.715
6407,65,263.980
6409,29,65.530
6410,92,333.672
6411,7,25.930
6413,2,6.750
6414,3,11.682
6415,252,925.567
6418,85,322.475
6419,5,19.680
6420,2,6.200
6421,4,17.366
6423,22,55.185
6424,1,6.000
6425,5,26.230
6426,38,188.050
6427,1,2.200
6428,10,40.625
6429,29,91.045
6430,764,2736.936
6432,286,869.768
6433,5,13.820
6434,9,58.920
6436,8,47.175
6437,185,296.730
6438,30,95.075
6440,13,56.185
6442,35,121.365
6443,31,195.985
6445,1,5.880
6446,2,8.140
6447,1,1.900
6448,8,35.615
6450,531,1891.260
6460,55,161.546
6461,42,162.470
6462,3,9.308
6465,1,2.100
6466,6,20.940
6467,2,5.880
6468,8,31.175
6472,6,29.230
6473,5,9.880
6475,16,52.555
6476,2,4.650
6477,14,51.155
6479,37,114.910
6480,1,2.280
6485,46,100.085
6487,1,1.050
6488,9,29.530
6489,2,7.160
6490,13,41.475
6501,136,567.975
6502,185,597.266
6503,281,1372.916
6504,12,43.520
6505,13,37.823
6506,2,3.420
6507,44,143.005
6509,4,39.100
6510,168,652.455
6511,82,335.210
6512,2,4.520
6513,11,36.885
6514,87,314.245
6515,15,50.060
6516,218,753.340
6517,35,125.625
6518,21,95.300
6519,41,141.609
6521,28,126.830
6522,32,119.515
6525,382,1191.706
6528,36,115.515
6530,2498,7568.738
6531,8,36.000
6532,493,1737.245
6535,158,511.465
6536,138,619.832
6537,86,626.561
6556,223,629.167
6558,91,222.994
6560,125,289.195
6562,187,531.630
6564,56,135.855
6566,529,1318.976
6567,65,153.490
6568,14,68.610
6569,29,128.869
6571,3,13.660
6572,3,12.190
6574,2,3.120
6575,5,17.860
6603,48,135.342
6606,6,20.320
6608,8,29.870
6609,63,256.800
6612,13,56.840
6613,4,11.320
6616,6,14.520
6620,19,74.260
6623,43,215.976
6625,2,10.100
6627,3,14.208
6628,6,18.220
6630,29,134.690
6631,2,8.140
6632,6,18.900
6635,6,26.195
6638,42,164.365
6639,19,78.511
6640,17,71.620
6642,38,111.018
6643,1,0.960
6646,5,150.300
6701,212,2710.874
6705,15,79.736
6707,127,1769.788
6710,8,85.401
6713,11,56.750
6714,240,791.629
6716,3,14.180
6718,7,68.080
6720,3,7.510
6721,64,253.721
6722,108,287.480
6725,338,3626.502
6726,123,1321.451
6728,113,1840.290
6740,22,237.514
6743,199,1225.217
6751,9,64.173
6753,53,1048.375
6754,2,13.230
6758,14,164.904
6760,33,168.092
6765,17,63.082
6770,13,112.197
6798,55,321.120
6799,6,32.720
6872,1,5.000
6901,2,6.120
6902,1,2.280
6904,1,1.920
6906,3,9.020
6907,2,8.132
6909,3,10.360
6910,1,1.500
6911,3,6.400
6912,4,6.030
6913,1,1.500
6914,2,3.260
6915,3,4.100
6916,3,8.250
6918,2,2.540
6920,2,6.200
6921,4,6.340
6922,7,13.480
6923,6,83.390
6924,5,14.060
6926,4,11.980
6929,1,1.520
6931,3,5.720
6933,5,11.785
6934,3,6.670
6935,2,5.970
6943,2,3.120
6944,3,37.030
6946,4,8.080
6951,2,3.100
6952,4,11.840
6953,4,9.935
6954,3,4.200
6955,12,26.230
6956,1,1.670
6957,3,7.240
6959,5,35.439
6963,4,8.065
6964,6,16.694
6966,4,53.310
6968,6,16.680
6979,2,4.560
6981,3,8.130
6982,2,3.500
6984,3,4.640
6985,4,12.350
6988,3,4.780
6989,2,6.520
6990,3,7.320
6991,6,15.370
6992,6,12.410
7000,510,1988.959
7001,4,94.360
7002,3,13.500
7004,353,873.065
7005,487,1621.097
7006,9,25.100
7007,172,621.783
7008,518,1549.629
7009,467,1421.543
7010,574,1857.268
7011,655,1845.224
7012,58,171.555
7015,489,1445.647
7016,81,211.179
7017,430,1513.331
7018,982,2984.627
7019,192,580.092
7020,212,736.083
7021,140,472.086
7022,66,210.240
7023,26,71.798
7024,54,152.423
7025,159,597.516
7026,57,181.791
7027,18,74.955
7030,789,2682.593
7050,634,2183.711
7051,23,88.660
7052,394,1290.268
7053,198,617.953
7054,642,2132.676
7055,19,62.370
7109,553,1818.434
7112,275,809.972
7113,88,309.250
7116,163,509.305
7117,76,256.740
7119,3,6.100
7120,102,373.026
7140,488,1795.632
7150,287,812.609
7155,104,320.794
7162,55,164.847
7163,39,163.227
7170,376,1650.078
7171,144,398.969
7172,210,663.898
7173,500,1377.491
7174,10,28.560
7175,10,24.570
7176,5,20.980
7177,26,102.180
7178,32,94.785
7179,40,105.750
7180,12,36.090
7182,21,72.980
7184,71,197.789
7185,7,15.606
7186,8,19.110
7187,9,37.730
7190,311,1006.591
7209,19,70.430
7210,52,210.110
7211,1,3.040
7212,129,565.665
7213,24,73.060
7214,34,97.365
7215,329,1050.867
7216,302,1044.547
7248,504,1708.279
7249,438,1490.362
7250,2188,7585.967
7252,230,795.202
7253,273,1107.605
7254,41,138.160
7255,138,462.119
7256,219,1393.987
7258,69,429.100
7259,26,77.755
7260,205,809.604
7261,21,73.290
7262,132,418.347
7263,28,90.880
7264,43,131.885
7265,13,52.391
7267,66,241.690
7268,85,295.350
7270,437,1375.690
7275,252,860.738
7276,47,138.866
7277,407,1493.911
7290,103,367.066
7291,35,152.020
7292,27,114.385
7300,170,617.760
7301,232,763.915
7302,63,237.752
7303,185,670.091
7304,409,1539.660
7305,80,270.535
7306,257,963.870
7307,555,2052.444
7310,1165,4101.883
7315,725,2735.153
7316,341,1391.745
7320,492,1939.248
7321,247,938.819
7322,183,710.777
7325,426,1663.924
7330,223,1207.560
7331,18,91.975
7466,4,10.380
7467,52,261.310
7468,24,108.215
7469,32,112.645
7470,23,88.072
7802,1,2.450
8576,2,6.840
