Postcode,Total Installations,Total SGU Rated Output In kW
2317,390,1060.164
2318,677,1939.951
2319,426,1044.319
2320,1486,5450.977
2321,747,2135.296
2322,1000,3466.070
2323,1248,3475.623
2324,1726,4580.801
2325,1319,4114.964
2326,338,906.605
2327,334,942.145
2328,132,661.234
2329,92,330.600
2330,1047,4021.020
2333,484,1724.078
2334,140,418.865
2335,335,1180.505
2336,132,495.974
2337,312,1262.505
2338,77,248.150
2339,48,227.045
2340,2257,8470.784
2341,75,243.710
2342,20,97.071
2343,229,884.392
2344,51,179.953
2345,46,168.810
2346,184,665.220
2347,108,416.110
2350,1307,4513.417
2352,173,549.549
2353,98,280.904
2354,182,758.280
2355,36,90.245
2356,7,33.548
2357,652,1822.650
2358,243,879.725
2359,59,180.793
2360,862,3443.197
2361,80,321.895
2365,207,745.524
2369,33,89.175
2370,461,1719.332
2371,127,523.078
2372,380,1149.876
2379,13,92.610
2380,538,2123.702
2381,58,258.280
2382,69,273.870
2386,22,104.424
2387,13,47.840
2388,328,985.935
2390,1243,3354.016
2395,43,138.675
2396,163,355.512
2397,52,227.615
2398,20,93.355
2399,48,396.345
2400,1071,3717.583
2401,17,70.535
2402,113,445.770
2403,42,140.520
2404,123,470.853
2405,50,222.586
2406,89,309.855
2408,25,203.600
2409,25,124.780
2410,12,39.715
2411,12,81.248
2415,41,202.870
2420,241,768.382
2421,135,566.865
2422,470,1444.488
2423,285,849.393
2424,42,128.490
2425,154,475.400
2426,56,182.359
2427,383,827.895
2428,1817,4185.398
2429,780,2289.432
2430,2533,7182.029
2431,520,1179.970
2439,301,786.183
2440,1391,4550.507
2441,499,1453.934
2443,1239,3067.177
2444,3375,8951.728
2445,591,1384.050
2446,1154,3345.709
2447,562,1621.613
2448,878,2066.377
2449,192,516.698
2450,2565,7245.282
2452,944,2339.586
2453,267,828.916
2454,801,2053.244
2455,245,611.782
2456,1182,3119.776
2460,2237,7416.396
2462,253,681.439
2463,582,1865.614
2464,758,1797.031
2465,19,48.000
2466,182,525.355
2469,324,940.397
2470,1203,3752.912
2471,222,692.311
2472,240,614.626
2473,398,983.535
2474,699,1871.400
2475,22,92.575
2476,47,168.650
2477,1426,3629.502
2478,2739,7167.035
2479,506,1661.112
2480,4463,11997.060
2481,1046,3289.370
2482,829,2067.963
2483,1128,2847.370
2484,2058,5806.219
2485,1072,2432.956
2486,3600,8779.962
2487,1148,3013.672
2488,291,762.665
2489,770,1903.542
2490,70,197.040
2500,743,2107.959
2502,399,969.697
2505,164,416.297
2506,215,536.285
2508,328,778.002
2515,564,1368.729
2516,256,699.851
2517,500,1216.799
2518,630,1523.451
2519,533,1529.403
2520,5,49.840
2525,410,1002.421
2526,665,2182.068
2527,1056,2835.637
2528,959,2176.314
2529,1175,3079.771
2530,1647,4113.198
2533,864,2130.217
2534,362,970.883
2535,533,1715.201
2536,1105,3077.996
2537,891,2482.562
2538,179,472.215
2539,1271,3084.818
2540,2950,7376.298
2541,1205,3527.710
2545,96,289.063
2546,780,2113.082
2548,498,1419.303
2549,302,812.899
2550,1601,4058.992
2551,225,793.305
2552,1,0.560
2555,2,4.070
2556,92,359.049
2557,195,675.900
2558,599,1284.390
2559,21,56.554
2560,3537,8471.876
2563,7,13.560
2564,572,1185.552
2565,844,2447.274
2566,1515,3730.783
2567,1726,4888.985
2568,107,266.820
2569,96,293.795
2570,1579,4414.481
2571,693,2006.786
2572,235,647.015
2573,220,511.277
2574,343,929.877
2575,839,2245.106
2576,556,1629.395
2577,823,2783.676
2578,207,530.164
2579,315,945.705
2580,1356,4314.581
2581,173,710.663
2582,808,3402.814
2583,296,998.791
2584,28,104.796
2585,12,72.655
2586,224,797.373
2587,220,914.863
2588,42,209.120
2590,426,1753.333
2594,699,2763.490
2600,276,921.496
2601,5,70.760
2602,1179,3358.584
2603,243,978.131
2604,197,552.764
2605,487,1409.958
2606,361,987.388
2607,620,1937.062
2609,25,315.558
2611,1318,3843.745
2612,228,739.010
2614,935,2642.347
2615,1967,5445.885
2616,5,44.120
2617,1259,3668.933
2618,96,573.122
2619,318,1104.861
2620,1563,6437.215
2621,436,1715.870
2622,353,1065.512
2623,26,66.875
2624,2,15.150
2625,3,10.430
2626,32,93.285
2627,208,784.562
2628,107,401.970
2629,16,68.470
2630,503,1473.305
2631,32,83.110
2632,115,272.885
2633,16,42.940
2640,2312,7139.222
2641,868,2725.880
2642,442,1843.395
2643,351,1624.750
2644,210,992.355
2645,35,129.130
2646,750,3617.854
2647,280,1343.027
2648,142,597.922
2649,3,6.770
2650,2515,9673.551
2651,53,261.640
2652,292,1335.412
2653,200,767.559
2655,129,543.634
2656,109,482.566
2658,129,549.140
2659,98,472.584
2660,140,550.515
2663,225,742.696
2665,96,483.434
2666,326,1410.320
2668,16,49.120
2669,98,451.803
2671,251,1085.650
2672,79,491.805
2675,104,773.585
2680,1072,5992.159
2681,108,556.235
2700,281,1202.721
2701,146,531.995
2702,72,281.228
2703,41,214.033
2705,443,2356.360
2706,70,305.675
2707,88,542.540
2710,692,3192.043
2711,167,944.888
2712,120,616.290
2713,250,1271.440
2714,323,1305.582
2715,35,209.660
2716,146,664.565
2717,35,167.342
2720,437,1543.992
2721,10,57.850
2722,221,882.924
2725,24,65.420
2726,7,39.960
2727,12,42.500
2729,112,379.094
2730,106,363.280
2731,493,1763.828
2732,183,1336.298
2733,37,237.360
2734,23,322.510
2735,50,359.120
2736,27,274.735
2737,25,196.640
2738,84,373.285
2739,71,397.509
2745,1341,3779.652
2747,1556,3940.090
2748,115,523.071
2749,723,2074.120
2750,1873,5142.350
2751,3,13.637
2752,249,776.682
2753,711,2169.246
2754,229,733.460
2756,1304,4515.104
2757,25,70.285
2758,440,1413.839
2759,1242,2971.760
2760,1104,2759.641
2761,1601,3567.724
2762,163,405.708
2763,1469,3257.321
2765,570,1791.559
2766,676,2156.743
2767,1560,3064.247
2768,1711,3889.763
2769,535,1407.632
2770,2036,4791.021
2773,331,795.868
2774,687,1692.629
2775,104,308.598
2776,272,617.171
2777,1120,2741.468
2778,186,383.920
2779,286,619.246
2780,701,1615.082
2782,367,845.599
2783,177,409.121
2784,104,206.615
2785,320,697.858
2786,90,212.843
2787,259,976.499
2790,729,2180.562
2791,30,146.750
2792,26,117.516
2793,72,215.301
2794,532,1928.413
2795,1972,7359.927
2797,15,46.820
2798,131,507.391
2799,165,655.371
2800,1991,7560.257
2803,17,64.000
2804,230,799.420
2805,27,93.718
2806,42,166.895
2807,23,62.226
2808,16,43.710
2809,17,81.555
2810,180,671.593
2818,28,84.875
2820,323,1192.530
2821,481,1697.155
2823,113,406.420
2824,209,847.705
2825,154,614.255
2826,9,58.440
2827,356,1025.393
2828,39,201.200
2829,236,1019.885
2830,4402,10929.480
2831,333,984.770
2832,128,559.190
2833,61,209.165
2834,290,664.680
2835,359,1083.935
2836,43,136.515
2839,23,168.420
2840,147,759.669
2842,56,140.070
2843,43,179.320
2844,87,251.475
2845,82,260.500
2846,39,97.690
2847,172,479.615
2848,67,270.889
2849,121,413.629
2850,939,3486.654
2852,183,631.054
2864,56,197.554
2865,115,371.985
2866,203,842.297
2867,46,262.026
2868,38,170.168
2869,118,479.785
2870,843,3751.128
2871,474,2273.898
2873,66,270.800
2874,50,179.510
2875,56,250.379
2876,29,153.550
2877,290,1550.478
2878,19,50.300
2879,71,259.755
2880,2485,6175.803
2898,32,129.373
2899,541,1636.268
2900,54,157.840
2901,1,3.500
2902,838,2375.660
2903,449,1295.546
2904,833,2105.916
2905,1275,3608.487
2906,715,2031.654
2911,87,402.567
2912,144,433.286
2913,1248,3457.614
2914,820,2365.254
3000,19,114.846
3002,18,141.944
3003,36,146.905
3004,5,53.070
3006,7,56.045
3008,72,338.080
3011,437,1267.175
3012,651,2026.798
3013,467,1159.037
3015,472,1188.990
3016,422,1173.493
3018,664,1707.509
3019,253,718.685
3020,1769,4285.573
3021,1898,4850.955
3022,133,329.959
3023,3271,8638.765
3024,1279,3397.206
3025,308,728.311
3026,17,285.500
3027,332,895.730
3028,1308,3358.176
3029,5103,13555.372
3030,4586,12900.007
3031,339,970.582
3032,665,1840.485
3033,485,1318.971
3034,374,1048.527
3036,237,737.160
3037,2294,6648.126
3038,1270,3845.861
3039,322,920.300
3040,595,1670.987
3041,327,929.131
3042,494,1435.853
3043,737,2198.788
3044,681,1717.405
3045,2,4.630
3046,811,2166.609
3047,535,1698.107
3048,621,1662.749
3049,357,1061.896
3051,91,270.190
3052,44,107.799
3053,49,120.955
3054,137,325.432
3055,303,755.998
3056,503,1263.151
3057,189,567.161
3058,1094,3185.756
3059,699,2453.075
3060,329,942.765
3061,181,1155.010
3062,4,118.960
3063,28,120.100
3064,3122,9024.626
3065,108,243.575
3066,67,205.120
3067,83,323.081
3068,396,972.884
3070,834,2077.504
3071,500,1280.220
3072,934,2611.649
3073,1509,3685.629
3074,699,2368.998
3075,702,1956.285
3076,1420,3493.196
3078,368,958.879
3079,428,1222.128
3081,283,766.577
3082,1082,3004.447
3083,1241,3261.783
3084,770,2100.788
3085,427,1095.529
3087,278,705.797
3088,871,2335.978
3089,452,1325.796
3090,81,321.265
3091,81,318.315
3093,124,406.190
3094,255,667.213
3095,880,2539.865
3096,90,252.385
3097,95,323.540
3099,257,756.614
3101,498,1410.462
3102,176,424.104
3103,353,974.740
3104,466,1337.735
3105,317,876.664
3106,603,1689.363
3107,368,988.916
3108,524,1332.445
3109,721,1898.277
3111,477,1289.628
3113,410,1251.843
3114,135,436.461
3115,157,507.835
3116,421,1147.400
3121,356,995.954
3122,247,748.080
3123,194,523.146
3124,465,1250.367
3125,431,971.832
3126,146,395.140
3127,453,1167.584
3128,436,1144.563
3129,457,1056.171
3130,1038,2546.130
3131,761,1979.281
3132,467,1209.693
3133,970,2326.004
3134,1059,2952.644
3135,673,1673.013
3136,1505,3857.928
3137,649,2324.213
3138,939,2556.716
3139,760,2481.377
3140,752,2159.925
3141,114,411.382
3142,86,334.479
3143,101,289.776
3144,158,533.089
3145,444,1322.967
3146,514,1561.688
3147,421,1116.305
3148,251,620.470
3149,1127,2890.935
3150,2372,6118.033
3151,387,875.568
3152,1293,3436.986
3153,879,3028.175
3154,182,527.450
3155,890,2261.366
3156,1772,4816.416
3158,217,567.222
3159,95,247.792
3160,298,784.701
3161,161,503.552
3162,323,916.593
3163,603,1472.119
3164,13,333.650
3165,719,1905.490
3166,603,1749.505
3167,310,861.733
3168,328,997.435
3169,571,1530.436
3170,713,1968.824
3171,817,2338.006
3172,866,2439.639
3173,1341,3892.084
3174,1108,2913.698
3175,1531,5358.120
3177,359,856.504
3178,1870,4886.397
3179,289,906.168
3180,400,1070.875
3181,125,322.169
3182,126,366.958
3183,156,387.345
3184,153,412.070
3185,215,578.163
3186,444,1432.305
3187,501,1166.404
3188,423,1162.720
3189,169,543.869
3190,220,568.150
3191,250,717.915
3192,558,1555.220
3193,481,1414.951
3194,261,710.450
3195,1265,3823.380
3196,906,2317.743
3197,616,1456.095
3198,828,2091.998
3199,2204,5521.933
3200,212,503.575
3201,1087,2834.751
3202,86,233.901
3204,726,1910.603
3205,83,236.429
3206,138,444.104
3207,136,401.987
3211,127,503.786
3212,1019,3078.770
3213,138,687.190
3214,1156,2736.444
3215,861,2451.091
3216,2754,7639.945
3217,86,329.960
3218,449,1215.370
3219,1095,2754.967
3220,532,1671.015
3221,405,1134.666
3222,950,2793.648
3223,655,1770.892
3224,821,2551.471
3225,375,1045.164
3226,901,2635.441
3227,327,1048.165
3228,981,2930.734
3230,291,935.601
3231,128,345.464
3232,59,154.819
3233,145,402.070
3234,5,17.270
3235,26,84.600
3236,20,47.710
3237,14,56.577
3238,26,72.660
3239,25,81.880
3240,147,530.775
3241,165,518.758
3242,57,160.095
3243,19,63.940
3249,208,670.879
3250,566,1946.551
3251,31,115.335
3254,25,66.940
3260,196,709.107
3264,96,370.915
3265,123,433.751
3266,155,588.197
3267,8,41.620
3268,121,433.995
3269,35,145.317
3270,13,44.570
3271,9,29.460
3272,80,278.455
3273,3,10.280
3274,16,49.010
3275,19,72.296
3276,16,52.720
3277,82,321.550
3278,11,38.630
3279,12,46.000
3280,1069,3595.296
3281,107,412.628
3282,111,355.854
3283,68,245.462
3284,169,626.706
3285,73,236.660
3286,29,107.251
3287,22,80.022
3289,54,181.442
3292,21,48.510
3293,22,66.481
3294,51,221.129
3300,434,1583.327
3301,57,198.537
3302,22,79.440
3303,12,60.470
3304,166,578.538
3305,766,2387.253
3309,5,18.370
3310,15,54.200
3311,111,398.337
3312,53,174.850
3314,39,118.571
3315,91,303.685
3317,6,12.890
3318,77,297.521
3319,15,51.446
3321,114,347.365
3322,7,17.265
3323,2,11.000
3324,32,96.880
3325,37,141.220
3328,133,360.057
3329,13,40.665
3330,9,33.100
3331,440,1370.388
3332,79,268.772
3333,63,217.672
3334,34,100.216
3335,132,604.112
3337,1958,5405.064
3338,1048,3049.061
3340,1244,3713.291
3341,142,453.242
3342,285,854.221
3345,106,366.317
3350,1974,6099.057
3351,558,1899.848
3352,1001,3545.142
3353,10,21.180
3354,1,4.000
3355,421,1459.843
3356,613,2031.859
3357,216,692.727
3360,47,133.910
3361,40,139.905
3363,221,643.394
3364,154,533.194
3370,138,427.190
3371,110,343.560
3373,167,604.157
3374,43,176.575
3375,10,45.510
3377,496,1487.602
3378,2,10.530
3379,39,143.540
3380,333,1124.303
3381,94,299.303
3384,41,146.932
3385,50,180.630
3387,36,144.930
3388,43,136.435
3390,80,238.397
3391,17,65.550
3392,45,149.565
3393,188,609.350
3395,54,181.627
3396,65,177.915
3400,801,3057.683
3401,386,1456.441
3402,19,62.780
3407,32,105.798
3409,115,266.920
3412,33,73.100
3413,13,47.672
3414,176,576.630
3418,274,1011.636
3419,99,309.602
3420,22,75.560
3423,30,91.624
3424,53,167.685
3427,137,403.569
3428,43,189.241
3429,1791,5090.819
3430,19,67.480
3431,291,955.277
3432,18,74.840
3433,17,53.875
3434,325,995.567
3435,211,672.239
3437,561,1888.149
3438,128,422.819
3440,107,296.706
3441,51,170.066
3442,480,1607.297
3444,612,1898.644
3446,91,267.634
3447,56,169.033
3448,114,355.052
3450,690,1720.690
3451,446,1190.889
3453,194,638.772
3458,168,511.733
3460,199,550.007
3461,397,1093.009
3462,135,324.810
3463,319,941.305
3464,99,283.340
3465,812,2608.855
3467,108,357.926
3468,29,71.060
3469,20,53.470
3472,190,516.305
3475,33,93.745
3477,82,263.568
3478,211,835.167
3480,107,456.015
3482,11,27.240
3483,64,226.765
3485,24,88.855
3487,10,28.170
3488,9,31.390
3489,4,15.655
3490,95,396.455
3491,8,23.500
3494,23,87.737
3496,343,1367.174
3498,269,1135.678
3500,1299,5377.909
3501,170,721.118
3502,24,77.010
3505,337,1383.915
3507,17,66.940
3509,24,92.410
3512,40,145.470
3515,118,509.180
3516,71,206.161
3517,157,398.864
3518,139,430.757
3520,13,32.060
3521,55,180.092
3522,37,116.412
3523,444,1354.685
3525,145,561.068
3527,67,241.250
3529,5,24.900
3530,7,13.695
3531,11,32.050
3533,66,221.975
3537,97,344.415
3540,39,112.800
3542,7,26.330
3544,21,89.700
3546,45,185.355
3549,125,552.375
3550,2136,6436.008
3551,2235,7554.256
3552,20,66.185
3554,2,6.390
3555,1103,3171.110
3556,817,2268.314
3557,64,242.844
3558,109,401.630
3559,31,102.730
3561,463,1618.596
3562,26,100.520
3563,69,236.230
3564,1237,4816.951
3565,9,80.440
3566,44,149.985
3567,54,201.970
3568,234,859.680
3570,85,250.920
3571,31,106.965
3572,5,26.400
3573,25,149.810
3575,63,235.370
3576,4,19.740
3579,498,1784.088
3580,86,265.615
3581,20,66.110
3583,10,39.395
3584,68,266.760
3585,704,3033.947
3586,65,316.253
3588,28,96.215
3589,23,105.398
3590,30,138.130
3591,9,35.170
3594,59,188.030
3595,69,230.235
3596,5,122.250
3597,20,123.542
3599,18,72.640
3607,11,39.295
3608,236,705.325
3610,159,437.524
3612,196,518.245
3614,96,341.310
3616,431,1250.090
3617,12,41.810
3618,59,181.225
3619,50,161.715
3620,702,2083.942
3621,216,756.895
3622,38,158.690
3623,87,280.270
3624,44,138.975
3629,644,1789.364
3630,1727,5736.947
3631,890,2832.913
3632,32,312.680
3633,82,305.000
3634,165,631.870
3635,58,162.675
3636,546,1797.750
3637,59,225.692
3638,193,824.205
3639,52,142.803
3640,115,660.405
3641,137,525.285
3643,28,76.350
3644,857,3450.472
3646,63,202.355
3647,2,34.950
3649,43,147.575
3658,515,1644.887
3659,78,268.475
3660,570,1837.541
3661,18,51.244
3662,2,15.220
3663,20,74.212
3664,91,300.747
3665,39,91.735
3666,506,1458.357
3669,132,403.250
3670,73,252.370
3671,46,240.740
3672,650,2006.037
3673,189,615.493
3675,225,782.020
3676,106,326.240
3677,1246,4112.700
3678,748,2865.683
3682,74,250.090
3683,197,601.145
3685,343,1228.616
3687,121,348.206
3688,165,532.988
3689,71,182.146
3690,1853,6073.714
3691,782,2735.372
3694,15,97.894
3695,55,202.723
3697,74,267.249
3698,121,317.851
3699,70,229.765
3700,143,472.378
3701,137,519.365
3704,5,13.055
3705,34,147.960
3707,237,858.875
3708,9,27.160
3709,66,285.678
3711,63,221.810
3712,35,167.870
3713,125,317.735
3714,353,1179.113
3715,26,61.978
3717,281,1018.246
3718,7,35.420
3719,52,144.315
3720,77,263.037
3722,389,1545.341
3723,272,898.702
3724,9,37.095
3725,59,189.650
3726,52,168.935
3727,39,113.155
3728,76,244.330
3730,925,3242.766
3732,77,245.962
3733,16,45.665
3735,53,198.525
3736,25,83.030
3737,347,1307.383
3738,22,81.310
3739,24,135.685
3740,105,371.359
3741,297,926.777
3744,48,131.913
3746,71,221.074
3747,545,1800.335
3749,226,694.680
3750,214,652.470
3751,6,28.535
3752,942,2667.326
3753,74,247.017
3754,1385,4027.581
3755,17,44.930
3756,708,2164.646
3757,518,1606.339
3758,165,531.809
3759,81,311.286
3760,41,142.701
3761,95,310.903
3762,11,45.970
3763,137,362.767
3764,529,1669.948
3765,282,921.194
3766,29,76.805
3767,24,60.605
3770,195,672.330
3775,249,720.252
3777,642,1758.515
3778,16,49.940
3779,46,188.855
3781,180,491.322
3782,360,989.928
3783,140,401.421
3786,49,133.340
3787,17,47.800
3788,50,167.881
3789,7,17.080
3791,37,126.461
3792,46,112.339
3793,174,526.471
3795,92,368.176
3796,400,1056.393
3797,214,646.970
3799,315,855.345
3802,1192,3178.317
3803,551,1757.196
3804,444,1695.869
3805,3033,8544.403
3806,2303,6419.615
3807,374,1197.443
3808,184,660.468
3809,177,619.519
3810,2171,6590.243
3812,157,530.372
3813,53,153.456
3814,133,443.394
3815,189,624.785
3816,180,554.386
3818,1013,2788.518
3820,924,2665.671
3821,250,854.158
3822,87,316.443
3823,183,599.742
3824,321,1007.198
3825,1459,4514.278
3831,166,510.055
3832,23,71.330
3833,33,90.451
3835,32,137.360
3840,914,3022.032
3842,283,865.287
3844,1539,4982.858
3847,164,467.905
3850,806,2588.348
3851,696,1986.497
3852,1,4.500
3853,6,22.000
3854,95,333.460
3856,97,320.240
3857,45,127.495
3858,286,805.284
3859,72,304.367
3860,561,1676.565
3862,281,1000.566
3864,23,98.430
3865,52,154.951
3869,145,478.465
3870,172,435.603
3871,271,894.391
3873,32,126.245
3874,79,254.420
3875,1341,4557.345
3878,122,378.404
3880,367,1045.093
3882,104,331.222
3885,187,555.495
3886,31,111.050
3887,33,167.014
3888,291,927.171
3889,12,29.150
3890,23,76.062
3891,28,76.005
3892,181,387.292
3895,11,40.890
3896,26,121.610
3898,50,130.949
3900,14,41.940
3902,28,92.902
3903,81,320.325
3904,157,493.400
3909,752,2421.170
3910,1184,3355.104
3911,181,671.414
3912,931,2666.820
3913,220,660.926
3915,454,1321.750
3916,99,407.675
3918,283,847.848
3919,173,460.635
3921,38,81.461
3922,672,1909.828
3923,75,202.897
3925,278,766.281
3926,264,877.486
3927,130,381.312
3928,39,199.896
3929,103,334.955
3930,713,2241.802
3931,1341,3253.472
3933,70,502.454
3934,1001,2583.700
3936,636,1804.400
3937,119,421.710
3938,203,526.293
3939,958,2533.842
3940,222,526.966
3941,761,2032.320
3942,178,471.096
3943,161,477.143
3944,64,224.960
3945,98,328.481
3946,23,75.905
3950,323,1070.219
3951,86,283.272
3953,564,1905.850
3954,43,160.340
3956,373,1094.005
3957,28,94.202
3958,14,44.165
3959,211,546.765
3960,326,959.705
3962,126,356.385
3964,19,61.100
3965,30,90.251
3966,41,111.770
3967,14,43.990
3971,381,1206.042
3975,990,2831.643
3976,1304,3257.605
3977,4643,12822.206
3978,207,836.614
3979,29,119.970
3980,238,736.942
3981,292,897.278
3984,469,1395.373
3987,128,374.218
3988,95,331.045
3990,16,63.320
3991,44,133.357
3992,85,275.535
3995,782,2432.690
3996,545,1608.723
4000,113,340.504
4001,11,114.066
4002,1,7.905
4004,6,25.920
4005,267,952.824
4006,169,750.811
4007,316,1071.865
4008,28,290.750
4009,16,210.345
4010,108,347.304
4011,684,2290.407
4012,1199,3610.383
4013,291,907.320
4014,1201,3613.334
4017,3917,10895.767
4018,1029,2638.723
4019,1659,4751.246
4020,2008,5845.732
4021,1058,2872.396
4022,895,2281.417
4025,150,335.440
4030,725,2242.530
4031,732,2247.788
4032,840,2364.484
4034,3874,11223.494
4035,3015,9565.052
4036,789,2294.106
4037,976,3262.572
4051,1468,4505.550
4053,3518,10377.499
4054,1328,3721.018
4055,2303,6911.464
4059,469,1374.406
4060,812,2570.864
4061,1623,4987.595
4062,1,1.500
4063,1,1.250
4064,451,1482.382
4065,586,1746.073
4066,522,1716.328
4067,272,889.440
4068,1036,3358.042
4069,3072,10171.105
4070,1336,4054.924
4073,1121,3658.415
4074,2956,8894.172
4075,1717,4947.202
