Postcode,Total Installations,Total SGU Rated Output In kW
0000,4,4.460
0200,1,0.080
0800,28,168.765
0801,3,5.460
0804,10,37.865
0810,641,2532.725
0811,2,9.000
0812,360,1308.341
0813,4,71.449
0814,2,9.060
0820,148,904.125
0821,3,26.740
0822,148,945.441
0828,17,300.220
0829,3,14.950
0830,401,1328.858
0831,7,26.330
0832,290,1008.479
0834,36,183.900
0835,140,573.670
0836,282,1232.960
0837,14,60.500
0838,29,105.345
0840,17,74.175
0841,7,23.295
0845,31,156.871
0846,13,44.090
0847,5,135.910
0850,145,959.880
0851,29,116.910
0852,48,338.635
0854,6,33.055
0860,40,248.096
0861,18,106.495
0862,5,65.515
0870,1111,4750.977
0871,51,378.225
0872,79,516.881
0873,4,26.500
0874,1,4.500
0875,1,4.500
0880,11,153.431
0881,12,107.730
0885,1,7.410
0886,8,71.700
1340,1,1.140
1355,1,1.020
1435,1,1.540
1470,1,1.520
1475,1,2.100
1480,2,4.880
1485,1,2.000
1490,1,1.510
1495,1,4.750
1570,2,11.150
1595,2,4.140
1630,1,5.000
1658,1,5.040
1660,1,3.500
1670,1,4.440
1680,1,4.180
1715,2,3.010
1730,3,8.000
1741,1,10.000
1755,1,1.980
1765,6,15.420
1790,1,1.520
1800,1,4.200
1805,2,14.720
1830,1,6.080
1835,1,1.140
1848,1,1.040
1860,3,25.420
1871,1,1.520
1875,1,1.610
1885,5,13.290
1890,3,6.630
2000,13,216.537
2007,14,82.750
2008,32,117.487
2009,7,18.640
2010,91,315.128
2011,19,63.934
2015,93,530.622
2016,60,137.396
2017,26,136.090
2018,164,451.225
2019,172,911.665
2020,172,570.134
2021,80,212.108
2022,115,304.270
2023,84,326.970
2024,152,401.660
2025,48,130.099
2026,222,579.745
2027,31,122.380
2028,19,53.130
2029,60,174.063
2030,154,500.828
2031,302,868.819
2032,159,396.817
2033,90,268.282
2034,178,476.279
2035,517,1323.871
2036,517,1389.438
2037,130,402.868
2038,141,312.795
2039,113,359.136
2040,371,907.491
2041,206,517.867
2042,232,560.320
2043,62,124.259
2044,205,576.257
2045,74,229.320
2046,375,924.339
2047,115,305.342
2048,100,329.629
2049,164,442.594
2050,81,221.834
2055,1,2.400
2057,9,15.990
2059,1,8.360
2060,79,245.040
2061,10,51.470
2062,56,146.895
2063,145,388.463
2064,93,298.841
2065,309,832.886
2066,581,1652.593
2067,315,814.882
2068,347,926.448
2069,308,861.390
2070,267,690.463
2071,235,717.153
2072,106,358.161
2073,300,935.024
2074,544,1413.433
2075,356,954.215
2076,546,1689.920
2077,704,1897.198
2079,239,566.743
2080,72,225.180
2081,266,612.660
2082,231,545.275
2083,101,289.815
2084,144,508.843
2085,453,1215.066
2086,437,1069.014
2087,417,1135.555
2088,297,893.497
2089,29,69.250
2090,100,271.311
2092,182,550.725
2093,435,1138.995
2094,76,158.695
2095,132,404.558
2096,268,697.656
2097,404,942.494
2099,740,1858.678
2100,583,1639.952
2101,457,1193.823
2102,204,498.184
2103,257,691.649
2104,90,249.560
2105,44,125.004
2106,178,455.989
2107,340,911.423
2108,53,162.645
2109,1,21.120
2110,159,450.978
2111,264,687.344
2112,599,1529.529
2113,394,1149.623
2114,464,1227.821
2115,252,593.433
2116,151,552.788
2117,481,1216.153
2118,888,1902.343
2119,303,743.960
2120,554,1509.591
2121,746,1656.722
2122,831,1834.926
2123,1,3.420
2124,3,4.540
2125,775,1911.952
2126,865,1871.464
2127,21,380.095
2128,57,510.195
2130,75,267.620
2131,270,687.958
2132,210,494.218
2133,203,461.174
2134,206,651.436
2135,429,1214.820
2136,153,402.523
2137,435,1120.892
2138,199,563.605
2140,110,307.029
2141,792,1945.188
2142,437,1115.934
2143,267,607.030
2144,641,1785.314
2145,2351,5256.125
2146,668,1492.730
2147,1672,3862.730
2148,2471,6199.064
2150,144,440.130
2151,453,1178.659
2152,299,724.836
2153,2607,6421.122
2154,1544,4112.736
2155,2602,6491.026
2156,712,2180.408
2157,150,483.378
2158,263,1094.964
2159,211,708.754
2160,671,1631.174
2161,615,1530.368
2162,534,1363.475
2163,230,842.274
2164,809,3334.526
2165,1244,3020.413
2166,1881,4544.423
2167,456,1054.822
2168,1702,3822.642
2170,3641,9343.993
2171,1349,3560.069
2172,124,315.166
2173,639,1359.311
2174,45,221.470
2175,76,439.018
2176,2153,5469.416
2177,726,1786.986
2178,165,785.375
2179,132,569.760
2190,621,1836.020
2191,127,339.205
2192,219,528.574
2193,355,874.988
2194,281,640.216
2195,293,655.531
2196,649,1520.548
2197,268,643.046
2198,251,566.452
2199,481,1229.819
2200,862,2428.232
2203,225,475.591
2204,433,1552.542
2205,218,461.457
2206,411,968.340
2207,571,1358.639
2208,302,968.306
2209,458,999.651
2210,830,2052.805
2211,465,1116.392
2212,438,1295.494
2213,626,1505.218
2214,177,590.294
2216,296,687.374
2217,379,1105.628
2218,256,607.525
2219,245,571.115
2220,505,1136.192
2221,356,990.617
2222,203,435.110
2223,500,1243.257
2224,284,787.219
2225,128,293.080
2226,378,880.483
2227,311,816.627
2228,326,813.746
2229,524,1679.896
2230,490,1239.059
2231,77,227.783
2232,772,2077.390
2233,1018,2506.096
2234,1050,3006.878
2250,2961,7963.722
2251,1441,3131.263
2256,690,1701.085
2257,1081,2537.851
2258,216,663.102
2259,3395,8365.667
2260,838,2057.694
2261,1773,4157.941
2262,964,2331.605
2263,1189,2657.826
2264,898,2046.419
2265,425,1003.045
2267,160,527.530
2278,154,432.768
2280,1277,3159.543
2281,623,1581.873
2282,812,2217.519
2283,1269,3234.937
2284,561,1566.898
2285,1444,3940.836
2286,177,501.845
2287,1711,4094.663
2289,711,1726.934
2290,1422,4032.743
2291,483,1270.061
2292,95,369.934
2293,78,206.330
2294,49,125.171
2295,263,579.888
2296,83,233.290
2297,93,201.287
2298,330,914.809
2299,430,1198.150
2300,226,692.670
2302,7,94.765
2303,364,920.628
2304,639,1854.839
2305,523,1274.469
2306,36,183.710
2307,165,377.133
2308,2,13.720
2311,56,202.705
2312,106,279.764
2315,919,2059.107
2316,325,904.500
